longitude,latitude,icon
120.99398615274289,14.571605037510983,power
120.99665902209956,14.569313984159793,support
120.99681480786239,14.568426844854079,power
120.9986093759528,14.571367619387395,heart
120.99826367266924,14.570313738504117,home
120.99949641648024,14.569959202459373,briefcase
120.96556884935482,14.612620740155643,power
120.99738993618793,14.573135989877835,briefcase
120.99714162044437,14.571096623464324,briefcase
120.99797799959468,14.569355414217917,heart
120.99647770730438,14.570670253751302,support
120.99610799691031,14.569984382441167,briefcase
120.99735725583689,14.564835964585688,heart
120.99839752832808,14.565714846256865,briefcase
120.99920119547222,14.566351819930524,heart
121.00028536228605,14.567181019771757,power
121.00012993616413,14.568503670265335,support
120.99937330211215,14.577027014090643,briefcase
121.0004159732426,14.577715217320321,home
120.99875986772953,14.576698455225795,heart
121.00004209164908,14.577270176536295,support
120.99855083137689,14.575652675174549,briefcase
120.99758061557002,14.57570019348804,support
120.96837757690761,14.608377810859782,support
120.9637068124836,14.614198883648397,home
120.99661551796997,14.576319541428756,briefcase
121.00054351453768,14.575586675768326,heart
120.9999100453689,14.574873609104138,heart
120.99883588750328,14.573833810306883,heart
121.00188343253399,14.574369731582026,heart
121.00119958337218,14.573677900404693,heart
121.000451598536,14.572880042665336,heart
120.99956503509782,14.571879169102964,support
120.99698363907572,14.578723900872065,home
120.9978711888001,14.578402632357808,power
120.96468198207991,14.614682359645204,power
120.99887609246241,14.589688521295807,support
120.99961985551505,14.590204383235077,support
121.00113588464991,14.591745996092262,support
121.00104204254532,14.592916343137134,heart
120.99822077329065,14.585503447716448,home
120.96343772104012,14.616399438881151,power
120.99912491443989,14.586392532931145,support
120.99981240391035,14.585053357489924,home
120.99939032247637,14.584599630429354,home
120.99896674672003,14.58410925412836,support
121.00031248064687,14.58648382767706,home
121.00008216970362,14.588872634855734,power
121.00133182659685,14.587080901864834,briefcase
121.00082078607394,14.589506288933187,home
121.00174557488843,14.58796876532499,heart
120.96755332673364,14.616227222581315,support
121.00463253877402,14.590430117324065,home
121.00446700197047,14.59158932611211,heart
121.00304010089154,14.58928103682482,support
120.99568618752022,14.61329589062479,power
120.99608303421354,14.613800097879048,briefcase
120.99726516752072,14.6134607837679,briefcase
120.99630158656082,14.614779434359445,support
120.99870784901007,14.614188695225796,support
120.99711314625,14.615494424369416,briefcase
120.99744983821878,14.614548945775288,briefcase
120.97053572416114,14.614702029504803,power
120.99816825983498,14.616451128691338,power
120.99934776380452,14.615489301378146,support
120.9982591678788,14.613053970998005,power
120.99935567942275,14.613289086046947,home
120.99981122649308,14.612373944932317,power
120.9987263457928,14.612078005140548,briefcase
121.00093799404586,14.613146214327157,briefcase
121.00054945699598,14.61431406874285,power
121.00154480302692,14.614148572514031,briefcase
121.00047432850104,14.611214755245744,support
120.97079236776898,14.616205973866663,power
120.99365758606734,14.575201779241647,support
120.99306106147951,14.574157602521536,power
120.96918381304046,14.660079586798682,home
120.96725011583534,14.654675299626259,home
120.99269366921678,14.653470453617867,home
120.99007927665745,14.650748508800662,briefcase
120.98970244453818,14.649474851564761,support
120.98660455096913,14.649158241679773,support
120.9851256078725,14.64921543435436,power
120.99002599176987,14.648035183025028,home
120.98071884320414,14.650068378184978,support
120.98220879213157,14.650014725931511,home
120.98366798569289,14.649981027121036,power
120.98215947661606,14.647849780220374,power
120.96679489515199,14.65325164024902,power
120.98072664565855,14.646393207594294,briefcase
120.98220730499631,14.646406769168479,home
120.98365015622687,14.646369871286888,briefcase
120.9807462379571,14.644947289943358,briefcase
120.98179739175784,14.644976070214835,heart
120.98271052157746,14.644968890413258,home
120.98380032277699,14.644933366689674,power
120.9810661104903,14.643522125796713,home
120.98377454145631,14.640951447604463,heart
120.98103279885098,14.64207156617286,home
120.96573139728356,14.653512542783911,heart
120.98073055283473,14.64027000301361,heart
120.98582486469864,14.646306644138399,support
120.988743470726,14.646170921705247,home
120.98504772747414,14.644889042402959,home
120.98650665912089,14.644860386847313,power
120.98852906697986,14.644811673478475,support
120.98818168032219,14.643245342020654,power
120.98722172850259,14.641148631482945,home
120.98658332781328,14.63955702983158,heart
120.98615964691089,14.638440141156828,power
120.96843261717729,14.651692913488253,power
120.98585280799014,14.637413458066419,briefcase
120.9882775689916,14.637232100699402,home
120.98764897336135,14.663251923247987,home
120.98935765791323,14.662635004572198,briefcase
120.98749616014871,14.659593359018308,home
120.989141766196,14.659522165265393,home
120.99155306846649,14.658304996750987,briefcase
120.991633032147,14.660598539272895,home
120.99403466304275,14.659385782415285,heart
120.99612448924769,14.659329275471782,briefcase
120.96633453253621,14.651372294552095,support
120.99256257539167,14.662624332880277,support
120.99576323159829,14.662472297404193,heart
120.9895381933316,14.66457192026051,home
120.99037865212001,14.663259577417131,power
120.9915152393579,14.663831886660246,home
120.99108502003278,14.665536810277152,briefcase
120.99300941914473,14.66456262336259,heart
120.99468992572149,14.663931916914994,power
120.99270316112221,14.665713159026344,heart
120.99323075859755,14.667075573289273,briefcase
120.96982283584354,14.649643596099157,briefcase
120.99463052270418,14.665976097665412,heart
120.99658402634824,14.664426311447397,home
120.995353837892,14.667864072147646,home
120.99624938844745,14.666721813507921,heart
120.99716165642796,14.665704973635275,briefcase
120.99729630898229,14.667949462148075,heart
120.99862711928378,14.666468201757931,home
120.99912279795264,14.66889546670178,support
121.00154146060729,14.671226518485598,home
121.00677289316624,14.674705256972935,support
120.96722167772376,14.649893532796018,home
121.00239553179003,14.680949209222767,home
121.00109910251601,14.675857363256554,briefcase
121.00645423786517,14.681879864766577,home
121.01248419231499,14.679767030460727,support
121.01819765017476,14.686669634513464,heart
121.01343012665654,14.712995450835638,power
121.02216272668916,14.71971360214607,power
121.01388838284068,14.731159228186437,briefcase
121.03675016796372,14.741542078625104,support
121.02839162053283,14.730221689349882,power
120.97094239046004,14.648520721827103,power
121.0440916189846,14.735339387340156,support
121.02266574708332,14.746453693310947,support
121.05054008359038,14.742104853032911,home
121.04922698522444,14.75158934529738,briefcase
121.06022052505007,14.754796629843787,support
121.04696181661006,14.761181176784202,briefcase
121.05300756775517,14.772609138080744,power
121.05825715269843,14.743652753852013,home
121.07024299761889,14.744649295080219,power
121.08374928747133,14.746183487062643,briefcase
120.96771027018896,14.64844794529363,power
121.08330747704196,14.751960842481429,power
121.09262853131595,14.7587118738024,power
121.0980873712394,14.754395002401907,power
121.08936121757768,14.751828874191155,briefcase
121.08983299205433,14.754770096138895,support
121.08571595590043,14.757467963958165,home
121.06859431639114,14.765742246865187,briefcase
121.07668531678257,14.752037151731821,support
121.07466093706797,14.757244391891566,power
120.97130339519346,14.646346254357416,support
120.9676858285562,14.661069171366266,briefcase
120.96886028273036,14.647413930779061,briefcase
120.97205321534757,14.644134375229106,support
120.96967721016611,14.645151831707807,power
120.97103366729392,14.642724558102408,home
120.96958187955578,14.64266309168082,power
120.97281726746881,14.641214438611936,heart
120.9713593720387,14.64053618664483,support
120.96967400750624,14.640644824029883,home
120.96752412203342,14.641961765256164,heart
120.97302201516035,14.638959008282391,home
120.96799555756459,14.659123426411103,heart
120.97098227925864,14.638210049579445,heart
120.96786113701964,14.639747473248294,briefcase
120.97299545063379,14.63739434710264,briefcase
120.97223544786463,14.635594835910444,heart
120.96820070888744,14.635558633397377,home
120.967932105033,14.638049400459089,briefcase
120.97500721136124,14.635491733471424,heart
120.97449578504586,14.63785278425222,heart
120.97555800558122,14.638965253377307,briefcase
120.97901276133,14.637160206444891,power
120.96598367923654,14.659116108477885,support
120.97884928829171,14.638085133583825,power
120.9786272688314,14.63921555836423,home
120.97685627430215,14.639208093890742,power
120.9746691677101,14.640569545284146,heart
120.97667677223055,14.640645894533256,power
120.97883358008477,14.640648954764709,power
120.97444307377951,14.642071102718809,support
120.97667791209116,14.642094723232708,support
120.97884440313256,14.642090418828799,home
120.97359072266872,14.644312230218427,support
120.96874129954854,14.656633629326526,power
120.97536218568743,14.643578431506139,home
120.97817227285911,14.643541586243503,power
120.97330095571174,14.646464791963279,heart
120.97516422235122,14.645587646425446,power
120.9778703617895,14.64643980435202,support
120.97815374294949,14.64497156730261,heart
120.9730433473645,14.647953438416959,home
120.97559104079451,14.647963476988966,briefcase
120.97848848926576,14.647938583007525,briefcase
120.97241376902332,14.649463996630708,support
120.96642917976746,14.657726475455814,heart
120.97447769168669,14.65020726420988,power
120.97774314949189,14.64941520491455,support
120.97774235358412,14.650887071636186,power
120.97238125749439,14.650904474665948,heart
120.97153099179131,14.652293896038822,support
120.97274833747146,14.652586926867631,support
